transport_infrastructure,country,nuts_2,year,value,unit
motorways,AT,AT11,2007,61,KM
motorways,AT,AT12,2007,328,KM
motorways,AT,AT13,2007,43,KM
motorways,AT,AT21,2007,243,KM
motorways,AT,AT22,2007,308,KM
motorways,AT,AT31,2007,299,KM
motorways,AT,AT32,2007,144,KM
motorways,AT,AT33,2007,189,KM
motorways,AT,AT34,2007,63,KM
motorways,BE,BE10,2007,11,KM
motorways,BE,BE21,2007,220,KM
motorways,BE,BE22,2007,106,KM
motorways,BE,BE23,2007,196,KM
motorways,BE,BE24,2007,175,KM
motorways,BE,BE25,2007,187,KM
motorways,BE,BE31,2007,63,KM
motorways,BE,BE32,2007,284,KM
motorways,BE,BE33,2007,266,KM
motorways,BE,BE34,2007,154,KM
motorways,BE,BE35,2007,103,KM
motorways,BG,BG31,2007,7,KM
motorways,BG,BG32,2007,0,KM
motorways,BG,BG33,2007,84,KM
motorways,BG,BG34,2007,87,KM
motorways,BG,BG41,2007,118,KM
motorways,BG,BG42,2007,122,KM
motorways,CH,CH01,2007,280,KM
motorways,CH,CH02,2007,319,KM
motorways,CH,CH03,2007,139,KM
motorways,CH,CH04,2007,112,KM
motorways,CH,CH05,2007,243,KM
motorways,CH,CH06,2007,181,KM
motorways,CH,CH07,2007,109,KM
motorways,CY,CY00,2007,257,KM
motorways,CZ,CZ01,2007,11,KM
motorways,CZ,CZ02,2007,195,KM
motorways,CZ,CZ03,2007,125,KM
motorways,CZ,CZ04,2007,52,KM
motorways,CZ,CZ05,2007,24,KM
motorways,CZ,CZ06,2007,228,KM
motorways,CZ,CZ07,2007,8,KM
motorways,CZ,CZ08,2007,15,KM
motorways,DE,DE11,2007,,KM
motorways,DE,DE12,2007,,KM
motorways,DE,DE13,2007,,KM
motorways,DE,DE14,2007,,KM
motorways,DE,DE21,2007,,KM
motorways,DE,DE22,2007,,KM
motorways,DE,DE23,2007,,KM
motorways,DE,DE24,2007,,KM
motorways,DE,DE25,2007,,KM
motorways,DE,DE26,2007,,KM
motorways,DE,DE27,2007,,KM
motorways,DE,DE30,2007,73,KM
motorways,DE,DE40,2007,790,KM
motorways,DE,DE50,2007,71,KM
motorways,DE,DE60,2007,81,KM
motorways,DE,DE71,2007,,KM
motorways,DE,DE72,2007,,KM
motorways,DE,DE73,2007,,KM
motorways,DE,DE80,2007,538,KM
motorways,DE,DE91,2007,,KM
motorways,DE,DE92,2007,,KM
motorways,DE,DE93,2007,,KM
motorways,DE,DE94,2007,,KM
motorways,DE,DEA1,2007,,KM
motorways,DE,DEA2,2007,,KM
motorways,DE,DEA3,2007,,KM
motorways,DE,DEA4,2007,,KM
motorways,DE,DEA5,2007,,KM
motorways,DE,DEB1,2007,,KM
motorways,DE,DEB2,2007,,KM
motorways,DE,DEB3,2007,,KM
motorways,DE,DEC0,2007,240,KM
motorways,DE,DED2,2007,216,KM
